"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","AMOREA","2016-12-06","2017-08-08","2017-08-08","GS018","Unleaded","91326.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9379624&startdate=2016-11-25&enddate=2016-12-17"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","HAFNIA EUROPE","2017-02-01","2017-08-08","2017-08-08","GS018","Unleaded","62692.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9336490&startdate=2017-01-21&enddate=2017-02-12"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","MARIANN","2017-01-14","2017-08-08","2017-08-08","MD008","Gasoil","37448.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9326897&startdate=2017-01-03&enddate=2017-01-25"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PTI HERCULES","2017-03-19","2017-08-08","2017-08-08","GS017","Regular Unleaded","37352.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9358307&startdate=2017-03-08&enddate=2017-03-30"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","BALTIC COMMANDER I","2017-04-24","2017-08-08","2017-08-08","MD008","GasOil / Diesel / 2 Oils, TBC","37340.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9208112&startdate=2017-04-13&enddate=2017-05-05"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","FURE NORD","2017-03-17","2017-08-08","2017-08-08","MD004","0.001 / 10ppm","30000.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9271884&startdate=2017-03-06&enddate=2017-03-28"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PHOENIX AN","2017-04-29","2017-08-08","2017-08-08","MD008","Gasoil","19409.0","MT","arriveddate","Arrived","1","Discharge","TR","DLV ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9299496&startdate=2017-04-18&enddate=2017-05-10"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STI COMANDANTE","2017-03-03","2017-08-08","2017-08-08","GS018","Gasoline","16317.0","MT","saileddate","Sailed","10","Discharge","GB","MLF ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9686857&startdate=2017-02-20&enddate=2017-03-14"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STEN MOSTER","2017-07-10","2017-08-10","2017-08-10","MD008","Gasoil","15500.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9341184&startdate=2017-06-29&enddate=2017-07-21"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ADFINES SKY","2017-01-17","2017-08-08","2017-08-08","GS002","Alkylate","14976.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9580986&startdate=2017-01-06&enddate=2017-01-28"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STEN FJELL","2016-12-20","2017-08-08","2017-08-08","GS037","HCCS (High Catalytic Cracked Spirit)","14175.0","MT","bldate","Bill date","14","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9460241&startdate=2016-12-09&enddate=2016-12-31"
