reason;vessel;imo;operation_date;port;operation;
English Channel;ATLANTIS ARMONA;9268162;2017-01-08;Southampton;arrived;Very close to Southampton and it was detected by berth
Malacca Strait;COMPAAN;9479022;2017-02-07;Antwerp;arrived;barge
South China Sea;COMPAAN;9479022;2017-02-12;Amsterdam;arrived;barge
Gulf of California;COMMANDER;9280354;2017-02-23;Antwerp;arrived;barge
Mediterranean Sea;RIVER PRIDE;9323986;2017-02-25;Rotterdam;arrived;barge
Malacca Strait;COMPAAN;9479022;2017-02-25;Antwerp;arrived;barge
Bay of Bengal;COMPAAN;9479022;2017-03-19;Rotterdam;arrived;barge
Bay of Bengal;COMPAAN;9479022;2017-03-27;Amsterdam;arrived;barge
Ghent;CRISTINA;9489546;2017-04-12;Antwerp;arrived;barge
Gulf of Oman;RAINBOW;9111046;2017-04-15;Antwerp;arrived;barge
Sea of Japan;COMPAAN;9479022;2017-04-30;Rotterdam;arrived;barge
East China Sea ;COMPAAN;9479022;2017-05-04;Amsterdam;arrived;barge
Caribbean Sea;COMPASS;9274094;2017-05-09;Rotterdam;arrived;barge
Gulf of Oman;ATLANTIS;9569621;2017-05-12;Amsterdam;arrived;barge
Gulf of Guinea;BEAUFORT;9610339;2017-05-17;Terneuzen;arrived;barge
Bay of Bengal;MARLIN APATITE;9721891;2017-05-25;Amsterdam;arrived;barge
Malacca Strait;INFINITY;8891235;2017-05-26;Antwerp;arrived;barge
Peru;CHANTAL;9382982;2017-06-01;Rotterdam;arrived;barge
Caribbean Sea;COMPAAN;9479022;2017-06-21;Amsterdam;arrived;barge
Alboran Sea;COMPAAN;9479022;2017-07-17;Antwerp;arrived;barge
