reason,,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargolink
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,BAKU,9252967,2/4/2017,3/30/2017,3/30/2017,AJ100,Azeri,700000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,2017-02-23 21:58:59 arrived at 101058,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9252967&vessel=&poi=&startdate=2017-01-30 00:00:00&enddate=2017-02-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,BAKU,9252967,2/4/2017,7/26/2017,7/26/2017,AJ100,Azeri,700000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9252967&vessel=&poi=&startdate=2017-01-30 00:00:00&enddate=2017-02-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,BAKU,9252967,2/4/2017,6/17/2017,6/17/2017,AJ100,Azeri,700000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9252967&vessel=&poi=&startdate=2017-01-30 00:00:00&enddate=2017-02-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,MARATHA,9252371,6/13/2017,7/26/2017,7/26/2017,IZ100,Basrah,600000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,6/28/2017  9:58:19 PM arrived at 101058,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9252371&vessel=&poi=&startdate=2017-06-08 00:00:00&enddate=2017-06-18 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,MARATHA,9252371,6/13/2017,7/6/2017,7/6/2017,IZ100,Basrah,600000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9252371&vessel=&poi=&startdate=2017-06-08 00:00:00&enddate=2017-06-18 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,MIKELA P.,9440382,6/22/2017,7/26/2017,7/26/2017,RS292,Russian Export Blend Crude Oil (REBCO),140000,MT,Pachi,arriveddate,Arrived,1,Discharge,GR,PME,7/7/2017  11:57:28 AM arrived at 103717,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9440382&vessel=&poi=&startdate=2017-06-17 00:00:00&enddate=2017-06-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,MIKELA P.,9440382,6/22/2017,7/6/2017,7/6/2017,RS292,Russian Export Blend Crude Oil (REBCO),140000,MT,Pachi,arriveddate,Arrived,1,Discharge,GR,PME,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9440382&vessel=&poi=&startdate=2017-06-17 00:00:00&enddate=2017-06-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ESTHER SPIRIT,9282053,6/4/2017,7/13/2017,7/13/2017,BR624,Jubarte Crude Oil,97431,MT,Rotterdam,bldate,Bill date,14,Discharge,NL,RTM,"7/3/2017  4:14:51 PM arrived at 100657, may billed one month early",,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9282053&vessel=&poi=&startdate=2017-05-30 00:00:00&enddate=2017-06-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ESTHER SPIRIT,9282053,6/4/2017,7/26/2017,7/26/2017,BR624,Jubarte Crude Oil,97431,MT,Rotterdam,bldate,Bill date,14,Discharge,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9282053&vessel=&poi=&startdate=2017-05-30 00:00:00&enddate=2017-06-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,AMOREA,9379624,12/6/2016,6/17/2017,6/17/2017,GS018,Unleaded,91326,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,"12/24/2016  9:00:55 PM arrived at 4935, billed 18 days EARLY.",,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9379624&vessel=&poi=&startdate=2016-12-01 00:00:00&enddate=2016-12-11 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
