Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Maersk Heiwa,16-Aug-17,23-Sep-17,China,Western Africa,UNIPEC
Athenian Success,14-Aug-17,21-Sep-17,China,Western Africa,UNIPEC
V. K. Eddie,6-Aug-17,13-Sep-17,China,Djeno,Chemchina
New Creation,5-Aug-17,8-Sep-17,China,Angola,Sinochem Group
Eagle Vancouver,8-Aug-17,9-Sep-17,China,Jubilee,UNIPEC
Duqm,8-Aug-17,13-Sep-17,China,Western Africa,Statoil ASA
Oriental Jade,6-Aug-17,5-Sep-17,China,Western Africa,Sinochem Group
New Merit,5-Aug-17,12-Sep-17,China,Jubilee,UNIPEC
Britanis,1-Aug-17,6-Sep-17,China,Djeno,UNIPEC
Leo Voyager,3-Aug-17,11-Sep-17,China,Uruguay,Shell
Maran Artemis,27-Jul-17,29-Aug-17,China,Western Africa,UNIPEC
Athenian Harmony,1-Aug-17,10-Sep-17,China,Tulja,Gunvor
Xin Xia Yang,25-Jul-17,15-Aug-17,China,Al Basrah,UNIPEC
Achilleas,23-Jul-17,28-Aug-17,China,Jose,PetroChina
Olympic Future,26-Jul-17,31-Aug-17,China,Forcados,Sinochem Group
Xin Shen Yang,27-Jul-17,18-Aug-17,China,Kharg Island,UNIPEC
New Enterprise,22-Jul-17,14-Aug-17,China,Al Basrah,UNIPEC
Mesdar,28-Jul-17,17-Aug-17,China,Persian Gulf,UNIPEC
Yamato Spirit,28-Jul-17,30-Jul-17,China,Hong Kong,Sinochem Group
Bunga Kasturi Lima,24-Jul-17,29-Aug-17,China,PSVM,UNIPEC
Xin Jin Yang,25-Jul-17,17-Aug-17,China,Kharg Island,UNIPEC
Athina,22-Jul-17,11-Aug-17,China,Persian Gulf,UNIPEC
Dht Eagle,26-Jul-17,28-Aug-17,China,Western Africa,UNIPEC
Olympic Lion,22-Jul-17,8-Aug-17,China,Mina Al Fahal,CNOOC
Front Endurance,23-Jul-17,24-Aug-17,China,Girassol,UNIPEC
New Dream,22-Jul-17,30-Aug-17,China,Malongo,UNIPEC
Athenian Freedom,25-Jul-17,16-Aug-17,China,Persian Gulf,PetroChina
Tenjun,25-Jul-17,13-Aug-17,China,Mina Al Fahal,PetroChina
Maran Castor,22-Jul-17,17-Aug-17,China,Ras Tanura,UNIPEC
British Vantage,24-Jul-17,16-Sep-17,China,North Sea,Shell
Sara,17-Jul-17,4-Aug-17,China,Iraq,UNIPEC
Jiu Hua San,21-Jul-17,12-Aug-17,China,Ras Tanura,
Th Symphony,20-Jul-17,26-Jul-17,China,Nakhodka,PetroChina
C. Innovator,22-Jul-17,20-Aug-17,China,Caribbean Sea,PetroChina
United Dynamic,18-Jul-17,25-Jul-17,China,Singapore,PetroChina
Shinyo Saowalak,19-Jul-17,26-Aug-17,China,Kizomba A,UNIPEC
Great Lady,18-Jul-17,24-Aug-17,China,Malongo,UNIPEC
Gener8 Companion,18-Jul-17,22-Jul-17,China,Singapore,Chimbusco
Xin Tong Yang,18-Jul-17,10-Aug-17,China,Al Shaheen,UNIPEC
New Dragon,18-Jul-17,9-Aug-17,China,Kharg Island,UNIPEC
British Century,17-Jul-17,28-Aug-17,China,Dos Bocas,UNIPEC
Dht Sophie,18-Jul-17,23-Jul-17,China,Nakhodka,Trafigura
Cosgreat Lake,16-Jul-17,5-Aug-17,China,Al Basrah,UNIPEC
Astro Chloe,19-Jul-17,30-Aug-17,China,La Paloma Light.,Shell
Oceanis,17-Jul-17,19-Aug-17,China,Angra dos Reis,Petrobras
Brightoil Lion,19-Jul-17,24-Jul-17,China,Vietnam,UNIPEC
Agios Fanourios I,16-Jul-17,14-Aug-17,China,Greater Plutonio,UNIPEC
Erik Spirit,17-Jul-17,19-Jul-17,China,Nakhodka,Chemchina
Cosbright Lake,17-Jul-17,6-Aug-17,China,Ras Tanura,UNIPEC
New Caesar,16-Jul-17,19-Aug-17,China,PSVM,UNIPEC
New Wealth,18-Jul-17,9-Aug-17,China,Persian Gulf,UNIPEC
Delta Tolmi,16-Jul-17,26-Aug-17,China,Angra dos Reis,Petrobras
Ningbo Dawn,16-Jul-17,18-Jul-17,China,Kozmino,Sinochem Group
New Medal,16-Jul-17,4-Aug-17,China,Ras Tanura,UNIPEC
Radiant Star,17-Jul-17,28-Jul-17,China,PEBG Light.,Chemchina
Yong Xing Zhou,17-Jul-17,18-Jul-17,China,Mercuria Storage,
Bei Hai Zhan Wang,16-Jul-17,18-Jul-17,China,Xinxijiang,
Diamond Faith,16-Jul-17,20-Jul-17,China,Kozmino,CNOOC
Xin Ning Yang,15-Jul-17,5-Aug-17,China,Kharg Island,UNIPEC
Al Salmi,15-Jul-17,3-Aug-17,China,Mina Al-Ahmadi,
Yang Lin Wan,15-Jul-17,20-Jul-17,China,Bohai Pengbo,
Hs Medea,15-Jul-17,19-Jul-17,China,Kozmino,Chemchina
Madison Orca,15-Jul-17,4-Aug-17,China,Mina Al Fahal,
Astro Chorus,15-Jul-17,5-Aug-17,China,Al Basrah,UNIPEC
Front Hakata,15-Jul-17,5-Aug-17,China,Al Basrah,CNOOC
Tian Long Zuo,14-Jul-17,24-Jul-17,China,Tankstore,
Yu Lin Wan,14-Jul-17,17-Jul-17,China,Beibu II,
Front Duchess,14-Jul-17,12-Aug-17,China,N'Goma,Sinochem Group
Brightoil Legend,14-Jul-17,19-Jul-17,China,Kozmino,PetroChina
Maran Penelope,13-Jul-17,19-Jul-17,China,Hong Kong Light.,
Qi Lian San,13-Jul-17,10-Aug-17,China,Mina Al Fahal,UNIPEC
Feng Huang Zuo,13-Jul-17,15-Jul-17,China,Dalian,
Happiness I,13-Jul-17,17-Jul-17,China,Rizhao,
Bw Bauhinia,13-Jul-17,27-Jul-17,China,Al Basrah,NPI
Xin Ning Yang,13-Jul-17,5-Aug-17,China,Sirri,UNIPEC
Diamond Eternity,13-Jul-17,17-Jul-17,China,Kozmino,UNIPEC
Shi Zi Zuo,12-Jul-17,14-Jul-17,China,Aoshan,
Yasa Golden Horn,12-Jul-17,17-Aug-17,China,Esmeraldas,Gunvor
Ds Venture,12-Jul-17,10-Aug-17,China,Pazflor,CNOOC
Agios Gerasimos,12-Jul-17,1-Aug-17,China,Bashair,Tupras
Kythira Warrior,12-Jul-17,17-Jul-17,China,Kozmino,Chemchina
Front Duchess,11-Jul-17,12-Aug-17,China,PSVM,Sinochem Group
Delta Sky,11-Jul-17,20-Aug-17,China,Angra dos Reis,Petrobras
Yuan Shan Hu,11-Jul-17,2-Aug-17,China,Kharg Island,UNIPEC
Lian An Hu,11-Jul-17,16-Jul-17,China,Bohai Century,
Sea Splendor,11-Jul-17,2-Aug-17,China,Mina Al-Ahmadi,
San Ding Chang Chun,11-Jul-17,17-Jul-17,China,Huizhou,
Ionic Anax,11-Jul-17,15-Jul-17,China,Kozmino,UNIPEC
Marbella,10-Jul-17,2-Aug-17,China,Juaymah,UNIPEC
San Ding Chang Le,10-Jul-17,15-Jul-17,China,Weng Chang,
Sentinel Spirit,10-Jul-17,12-Jul-17,China,Vopak Yangpu,
Bei Hai Wei Wang,9-Jul-17,17-Jul-17,China,Panyu,
Feng Huang Zhou,9-Jul-17,15-Jul-17,China,Bohai Pengbo,
Fida,9-Jul-17,14-Jul-17,China,Nagasaki Light.,
Sea Horizon,9-Jul-17,18-Jul-17,China,Linggi Light.,Glencore
Texas,9-Jul-17,12-Aug-17,China,Djeno,UNIPEC
Nave Buena Suerte,8-Jul-17,21-Aug-17,China,La Paloma Light.,
V8 Stealth,8-Jul-17,13-Jul-17,China,Kozmino,Trafigura
Nerissa,8-Jul-17,11-Aug-17,China,Clov,Statoil ASA
Grand Lady,8-Jul-17,24-Jul-17,China,Al Basrah,Sinochem Group
Brightoil Galaxy,8-Jul-17,30-Jul-17,China,Juaymah,UNIPEC
Liu Lin Wan,8-Jul-17,15-Jul-17,China,Xinxijiang,
Fei Ma Zuo,8-Jul-17,17-Jul-17,China,Yangpu,
Ling Yang Zuo,7-Jul-17,11-Jul-17,China,Dongying,
Agios Sostis I,7-Jul-17,10-Aug-17,China,Kizomba C Mondo,Sinochem Group
Lucky Trader,7-Jul-17,29-Jul-17,China,Al Basrah,UNIPEC
Ti Europe,7-Jul-17,3-Aug-17,China,Juaymah,
Nave Buena Suerte,7-Jul-17,21-Aug-17,China,La Paloma Light.,
Lian Yun Hu,7-Jul-17,8-Jul-17,China,Qinzhou Light.,
Eagle Varna,7-Jul-17,4-Aug-17,China,Pacific Terminal,Tesoro
Eco Seas,7-Jul-17,12-Aug-17,China,Forcados,
Sea Horizon,6-Jul-17,18-Jul-17,China,Linggi Light.,Glencore
Bei Hai Ming Wang,6-Jul-17,12-Jul-17,China,Kozmino,CNOOC
Nisalah,6-Jul-17,24-Aug-17,China,Galveston Light.,
Long Hu San,6-Jul-17,28-Jul-17,China,Juaymah,PetroChina
Yu Lin Wan,6-Jul-17,9-Jul-17,China,Weng Chang,
Lu San,6-Jul-17,27-Jul-17,China,Mina Al Fahal,CNOOC
Cosflying Lake,5-Jul-17,5-Aug-17,China,Palanca,UNIPEC
Brightoil League,5-Jul-17,13-Jul-17,China,Kozmino,CNOOC
Yang Lin Wan,5-Jul-17,7-Jul-17,China,Qingdao,
Amphitrite,5-Jul-17,7-Aug-17,China,Angra dos Reis,Petrobras
Al Jabriyah II,5-Jul-17,19-Jul-17,China,Mina Al-Ahmadi,
Istanbul,5-Jul-17,15-Aug-17,China,Bullenbay,Koch S&T
Jing Gang San,5-Jul-17,8-Aug-17,China,Djeno,UNIPEC
